TICKET,TYPE,MARKET,UNITS,PRICE,PROFIT (USD),BALANCE,DATE/TIME,,,,
9233,Stop Loss,USD/CAD,77901,1.32723,($68.10),84539.49,6/13/17 5:55,,($68.10),$70.49 ,
9231,Stop Loss,EUR/USD,80022,1.1209,($43.21),84607.58,6/13/17 5:46,,($43.21),$87.50 ,
9225,Stop Loss,EUR/USD,75380,1.1209,($46.74),84650.86,6/13/17 5:24,,($46.74),$86.70 ,
9215,Stop Loss,GBP/USD,57283,1.26892,($22.34),84697.6,6/13/17 4:30,,($22.34),$44.91 ,
9209,Stop Loss,GBP/USD,57284,1.26889,($9.17),84719.94,6/13/17 4:30,,($9.17),$103.32 ,
9203,Stop Loss,GBP/USD,61205,1.26893,($71.61),84729.13,6/13/17 4:30,,($71.61),$206.55 ,
9189,Take Profit,EUR/USD,66500,1.12234,$70.49 ,84800.76,6/13/17 4:00,,($28.84),$35.15 ,
9183,Stop Loss,EUR/USD,62692,1.1209,($28.84),84730.28,6/13/17 3:40,,($128.26),$57.74 ,
9177,Stop Loss,USD/CAD,71527,1.32721,($128.26),84759.28,6/13/17 3:32,,($115.89),$83.09 ,
9175,Take Profit,EUR/USD,69446,1.12061,$87.50 ,84887.7,6/13/17 3:29,,($40.81),9,Total
9173,Take Profit,AUD/USD,104462,0.75399,$86.70 ,84800.22,6/13/17 3:15,,($43.19),$86.16 ,Average
9167,Stop Loss,GBP/USD,66221,1.26894,($115.89),84713.52,6/13/17 3:01,,($163.62),,
9157,Stop Loss,AUD/USD,131634,0.7552,($40.81),84829.41,6/13/17 2:24,,($79.06),,
9155,Stop Loss,EUR/USD,83064,1.11863,($43.19),84870.24,6/13/17 2:19,,($108.75),,
9145,Stop Loss,EUR/USD,215287,1.11861,($163.62),84914.04,6/13/17 1:45,,($71.98),,
9143,Stop Loss,USD/CHF,153335,0.96988,($79.06),85079.51,6/13/17 1:36,,($34.86),,
9141,Stop Loss,AUD/USD,213234,0.75516,($108.75),85158.57,6/13/17 1:33,,($64.75),,
9130,Close Trade,GBP/USD,81654,1.2652,$44.91 ,85267.35,6/13/17 0:02,,17,Total,
9126,Close Trade,EUR/USD,121551,1.1191,$103.32 ,85222.25,6/12/17 23:59,,($67.13),Average,
9119,Take Profit,USD/CHF,256818,0.96966,$206.55 ,85118.46,6/12/17 21:26,,,,
9113,Stop Loss,GBP/USD,44158,1.26571,($71.98),84912.2,6/12/17 21:15,,,,
9111,Take Profit,AUD/USD,87866,0.75539,$35.15 ,84984.19,6/12/17 21:11,,,,
9101,Take Profit,AUD/USD,108936,0.75606,$57.74 ,84949.04,6/12/17 20:49,,,,
9095,Stop Loss,AUD/USD,108936,0.75518,($34.86),84891.31,6/12/17 20:08,,,,
9089,Take Profit,AUD/USD,125889,0.75502,$83.09 ,84926.17,6/12/17 20:03,,,,
9079,Stop Loss,EUR/USD,85201,1.11997,($64.75),84843.65,6/12/17 19:07,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
