Time,Hour,Open,High,Low,Close,100,300,Long,Short
2017-06-04 21:00,21,1.12736,1.12831,1.12736,1.12736,,,0,1
2017-06-04 22:00,22,1.12787,1.12838,1.12733,1.12733,,,0,1
2017-06-04 23:00,23,1.1279,1.1281,1.1276,1.1276,,,0,1
2017-06-05 00:00,0,1.12778,1.12783,1.1269,1.1269,,,0,1
2017-06-05 01:00,1,1.12725,1.1277,1.12688,1.12688,,,0,1
2017-06-05 02:00,2,1.12697,1.12737,1.12652,1.12652,,,0,1
2017-06-05 03:00,3,1.12735,1.12747,1.12669,1.12669,,,0,1
2017-06-05 04:00,4,1.12708,1.12712,1.12634,1.12634,,,0,1
2017-06-05 05:00,5,1.12663,1.12669,1.12615,1.12615,,,0,1
2017-06-05 06:00,6,1.12647,1.127,1.12624,1.12624,,,0,1
2017-06-05 07:00,7,1.12634,1.12788,1.12603,1.12603,,,0,1
2017-06-05 08:00,8,1.12649,1.12722,1.12631,1.12631,,,0,1
2017-06-05 09:00,9,1.12718,1.12718,1.12618,1.12618,,,0,1
2017-06-05 10:00,10,1.12651,1.12671,1.12352,1.12352,,,0,1
2017-06-05 11:00,11,1.12427,1.12473,1.12364,1.12364,,,0,1
2017-06-05 12:00,12,1.12468,1.12516,1.12407,1.12407,,,0,1
2017-06-05 13:00,13,1.12423,1.12556,1.12343,1.12343,,,0,1
2017-06-05 14:00,14,1.12492,1.12554,1.1243,1.1243,,,0,1
2017-06-05 15:00,15,1.12507,1.12549,1.12473,1.12473,,,0,1
2017-06-05 16:00,16,1.12498,1.12548,1.12479,1.12479,,,0,1
2017-06-05 17:00,17,1.12532,1.12644,1.12532,1.12532,,,0,1
2017-06-05 18:00,18,1.12577,1.1258,1.12512,1.12512,,,0,1
2017-06-05 19:00,19,1.12575,1.12577,1.12529,1.12529,,,0,1
2017-06-05 20:00,20,1.12552,1.1259,1.12538,1.12538,,,0,1
2017-06-05 21:00,21,1.12541,1.12599,1.12536,1.12536,,,0,1
2017-06-05 22:00,22,1.12542,1.12599,1.12542,1.12542,,,0,1
2017-06-05 23:00,23,1.12585,1.12596,1.12552,1.12552,,,0,1
2017-06-06 00:00,0,1.12576,1.12656,1.12573,1.12573,,,0,1
2017-06-06 01:00,1,1.12623,1.12728,1.12623,1.12623,,,0,1
2017-06-06 02:00,2,1.12728,1.12749,1.12705,1.12705,,,0,1
2017-06-06 03:00,3,1.12724,1.12741,1.12683,1.12683,,,0,1
2017-06-06 04:00,4,1.12686,1.12686,1.12652,1.12652,,,0,1
2017-06-06 05:00,5,1.12682,1.12778,1.12659,1.12659,,,0,1
2017-06-06 06:00,6,1.12732,1.12765,1.12659,1.12659,,,0,1
2017-06-06 07:00,7,1.12692,1.12701,1.12424,1.12424,,,0,1
2017-06-06 08:00,8,1.125,1.1257,1.12476,1.12476,,,0,1
2017-06-06 09:00,9,1.12518,1.12532,1.12442,1.12442,,,0,1
2017-06-06 10:00,10,1.12488,1.12529,1.12438,1.12438,,,0,1
2017-06-06 11:00,11,1.12496,1.12595,1.12405,1.12405,,,0,1
2017-06-06 12:00,12,1.12488,1.12579,1.12473,1.12473,,,0,1
2017-06-06 13:00,13,1.12554,1.12759,1.1254,1.1254,,,0,1
2017-06-06 14:00,14,1.12679,1.12766,1.12612,1.12612,,,0,1
2017-06-06 15:00,15,1.12659,1.1273,1.12625,1.12625,,,0,1
2017-06-06 16:00,16,1.12658,1.12718,1.12646,1.12646,,,0,1
2017-06-06 17:00,17,1.12703,1.12842,1.12701,1.12701,,,0,1
2017-06-06 18:00,18,1.12819,1.12821,1.12681,1.12681,,,0,1
2017-06-06 19:00,19,1.12695,1.12787,1.12695,1.12695,,,0,1
2017-06-06 20:00,20,1.1278,1.12784,1.12722,1.12722,,,0,1
2017-06-06 21:00,21,1.12769,1.1281,1.12765,1.12765,,,0,1
2017-06-06 22:00,22,1.12776,1.1282,1.12774,1.12774,,,0,1
2017-06-06 23:00,23,1.12783,1.12784,1.127,1.127,,,0,1
2017-06-07 00:00,0,1.12701,1.12766,1.1268,1.1268,,,0,1
2017-06-07 01:00,1,1.12723,1.12737,1.12678,1.12678,,,0,1
2017-06-07 02:00,2,1.12693,1.12693,1.12622,1.12622,,,0,1
2017-06-07 03:00,3,1.12651,1.12657,1.12625,1.12625,,,0,1
2017-06-07 04:00,4,1.12643,1.12656,1.12602,1.12602,,,0,1
2017-06-07 05:00,5,1.12644,1.12683,1.12642,1.12642,,,0,1
2017-06-07 06:00,6,1.12649,1.12769,1.12632,1.12632,,,0,1
2017-06-07 07:00,7,1.12726,1.12731,1.12464,1.12464,,,0,1
2017-06-07 08:00,8,1.12542,1.12679,1.12532,1.12532,,,0,1
2017-06-07 09:00,9,1.12626,1.12769,1.12624,1.12624,,,0,1
2017-06-07 10:00,10,1.12703,1.12705,1.12052,1.12052,,,0,1
2017-06-07 11:00,11,1.12122,1.12271,1.12044,1.12044,,,0,1
2017-06-07 12:00,12,1.12156,1.12335,1.12135,1.12135,,,0,1
2017-06-07 13:00,13,1.12299,1.12633,1.12247,1.12247,,,0,1
2017-06-07 14:00,14,1.1262,1.12825,1.12587,1.12587,,,0,1
2017-06-07 15:00,15,1.12627,1.12637,1.12302,1.12302,,,0,1
2017-06-07 16:00,16,1.12373,1.12656,1.1223,1.1223,,,0,1
2017-06-07 17:00,17,1.12647,1.12722,1.12628,1.12628,,,0,1
2017-06-07 18:00,18,1.12653,1.12681,1.12518,1.12518,,,0,1
2017-06-07 19:00,19,1.12534,1.12678,1.12518,1.12518,,,0,1
2017-06-07 20:00,20,1.12676,1.1269,1.12564,1.12564,,,0,1
2017-06-07 21:00,21,1.12609,1.1266,1.12556,1.12556,,,0,1
2017-06-07 22:00,22,1.12596,1.12616,1.1255,1.1255,,,0,1
2017-06-07 23:00,23,1.12583,1.12611,1.12547,1.12547,,,0,1
2017-06-08 00:00,0,1.12556,1.12571,1.12479,1.12479,,,0,1
2017-06-08 01:00,1,1.12503,1.12569,1.12472,1.12472,,,0,1
2017-06-08 02:00,2,1.12554,1.12613,1.12536,1.12536,,,0,1
2017-06-08 03:00,3,1.1261,1.1261,1.12534,1.12534,,,0,1
2017-06-08 04:00,4,1.12536,1.12586,1.12504,1.12504,,,0,1
2017-06-08 05:00,5,1.12573,1.12634,1.12524,1.12524,,,0,1
2017-06-08 06:00,6,1.12632,1.12692,1.12508,1.12508,,,0,1
2017-06-08 07:00,7,1.12522,1.12647,1.12502,1.12502,,,0,1
2017-06-08 08:00,8,1.12599,1.12632,1.12433,1.12433,,,0,1
2017-06-08 09:00,9,1.12489,1.12537,1.12301,1.12301,,,0,1
2017-06-08 10:00,10,1.12331,1.12375,1.12305,1.12305,,,0,1
2017-06-08 11:00,11,1.12344,1.12631,1.12177,1.12177,,,0,1
2017-06-08 12:00,12,1.1225,1.12507,1.11947,1.11947,,,0,1
2017-06-08 13:00,13,1.12261,1.12299,1.12075,1.12075,,,0,1
2017-06-08 14:00,14,1.12189,1.12238,1.11959,1.11959,,,0,1
2017-06-08 15:00,15,1.12215,1.12243,1.12132,1.12132,,,0,1
2017-06-08 16:00,16,1.12167,1.12202,1.12075,1.12075,,,0,1
2017-06-08 17:00,17,1.12113,1.12139,1.12017,1.12017,,,0,1
2017-06-08 18:00,18,1.12115,1.12285,1.12089,1.12089,,,0,1
2017-06-08 19:00,19,1.12221,1.12257,1.12097,1.12097,,,0,1
2017-06-08 20:00,20,1.12172,1.12183,1.12128,1.12128,,,0,1
2017-06-08 21:00,21,1.12137,1.12367,1.11999,1.11999,,,0,1
2017-06-08 22:00,22,1.12049,1.12143,1.12024,1.12024,,,0,1
2017-06-08 23:00,23,1.12037,1.12037,1.11801,1.11801,,,0,1
